# FEN|result
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/P3P3/1P3PPP/RNBQKBNR b KQkq c3 0 4|1
r1bqkb1r/pp3ppp/4pn2/2n5/2B5/P1N1P3/1P3PPP/R1BQK1NR w KQkq - 0 8|0
r1bQkb1r/pp3ppp/4pn2/2n5/2B5/P1N1P3/1P3PPP/R1B1K1NR b KQkq - 0 8|1
r1b1kb1r/1p3ppp/4pn2/p7/1P2n3/P3P3/4BPPP/R1BNK1NR w KQ a6 0 12|0
r1b1kb1r/1p3ppp/4pn2/p7/1P2n3/P3PP2/4B1PP/R1BNK1NR b KQ - 0 12|1
r1b1k2r/1p1n1ppp/3npb2/P7/8/P3PP1N/3BB1PP/R2NK2R w KQ - 5 16|0
r1b1k2r/1p1n1ppp/3npb2/P7/8/P3PP1N/R2BB1PP/3NK2R b K - 6 16|1
r1b4r/3nkppp/3np3/p3b2N/8/P3PP2/R2BB1PP/3N1RK1 w - - 4 20|0
r1b4r/3nkppp/3np3/p3b2N/8/P3PP2/R2BBNPP/5RK1 b - - 5 20|1
r7/1b1nkppp/3np3/p6N/4P1N1/P1r2P2/R3B1PP/5RK1 w - - 0 24|0
r7/1b1nkpNp/3np3/p7/4P1N1/P1r2P2/R3B1PP/5RK1 b - - 0 24|1
2r5/1b1nkp1p/3n3N/p4pr1/4P1P1/P4P2/R3B2P/5RK1 w - - 0 28|0
2r5/1b1nkp1p/3n3N/p4pr1/4P1PP/P4P2/R3B3/5RK1 b - h3 0 28|1
2r5/3nkp1p/b5r1/p7/3nP1PP/P4P2/1R2B3/1R4K1 w - - 4 32|0
2r5/3nkp1p/B5r1/p7/3nP1PP/P4P2/1R6/1R4K1 b - - 0 32|1
3k4/1R1n1p1p/4r3/p5P1/3nP2P/P1r2P2/5K2/1R6 w - - 1 36|0
3k4/1R1n1p1p/4r3/p5P1/P2nP2P/2r2P2/5K2/1R6 b - - 0 36|1
3k4/R2n1p1p/2n5/p5P1/P5rP/5r2/7K/1R6 w - - 4 40|0
3k4/RR1n1p1p/2n5/p5P1/P5rP/5r2/7K/8 b - - 5 40|1
3k4/1R1n1p1p/2n3P1/p7/P6r/8/8/5K2 w - - 1 44|0
3k4/3n1p1p/2n3P1/p7/PR5r/8/8/5K2 b - - 2 44|1
3k4/3n3p/2n1R1p1/p7/P7/8/6K1/2r5 w - - 4 48|0
3k4/3n3p/2n3p1/p7/P7/4R3/6K1/2r5 b - - 5 48|1
8/2kn4/2n3p1/p6p/P7/3R4/5r2/7K w - - 2 52|0
8/2kn4/2n3p1/p6p/P7/8/5r2/3R3K b - - 3 52|1
8/2k5/2n3p1/p3n2p/P7/8/5r2/R6K w - - 10 56|0
8/2k5/2n3p1/p3n2p/P7/R7/5r2/7K b - - 11 56|1
8/8/2n1k1p1/p6p/P7/3n4/r7/1R5K w - - 18 60|0
8/8/2n1k1p1/p6p/P7/3n4/r7/6RK b - - 19 60|1
8/8/5kp1/p3n1Rp/7r/3n4/8/6K1 w - - 4 64|0
8/8/5kp1/p3n2p/7r/3n4/6R1/6K1 b - - 5 64|1
8/8/6p1/p3nk1p/5r2/5nR1/7K/8 w - - 12 68|0
8/8/6p1/p3nk1p/5r2/5nRK/8/8 b - - 13 68|1
8/8/6p1/5knp/p6r/5n2/6R1/7K w - - 6 72|0
8/8/6p1/5knp/p6r/5n2/7R/7K b - - 7 72|1
r1bqkbnr/ppp2ppp/2np4/4P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 1 4|1
r1bqkbnr/ppp2ppp/2np4/4P3/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 4|0
r2qkbnr/pppb2pp/3p1p2/8/4P1n1/4BN2/PPP1BPPP/RN1QK2R w KQkq - 2 8|1
r2qkbnr/pppb2pp/3p1p2/8/4P1n1/5N2/PPP1BPPP/RNBQK2R b KQkq - 3 8|0
r2qk2r/pppb3p/2np1ppb/P7/4P1n1/2N2N2/1PP1BPPP/R1BQK2R w KQkq - 1 12|1
r2qk2r/pppb3p/2np1ppb/P7/2B1P1n1/2N2N2/1PP2PPP/R1BQK2R b KQkq - 2 12|0
r2qk2r/pppb3p/n2p1ppn/P2N4/2B1P3/5N1P/1PP2PP1/2RQK2R w Kkq - 1 16|1
r2qk2r/pppb3p/n2p1ppn/P2N4/2BQP3/5N1P/1PP2PP1/2R1K2R b Kkq - 2 16|0
1r1qk1nr/ppp5/3p1pp1/P2N3p/3QP3/5N1R/1PP1BPP1/2R1K3 w k h6 0 20|1
1r1qk1nr/ppp5/3p1pp1/P6p/3QP3/4NN1R/1PP1BPP1/2R1K3 b k - 1 20|0
1r2k1nr/1pp5/p1qp2p1/P3p2p/3Q4/4NN1R/1PP1BPP1/3R1K2 w k - 0 24|1
1r2k1nr/1pp5/p1qp2p1/P3N2p/3Q4/4N2R/1PP1BPP1/3R1K2 b k - 0 24|0
4k1nr/8/prNp2p1/2q4p/Q7/4N2R/1PP1BPP1/3R1K2 w k - 0 28|1
1N2k1nr/8/pr1p2p1/2q4p/Q7/4N2R/1PP1BPP1/3R1K2 b k - 1 28|0
5knr/8/prq3p1/3pN2p/8/4N2R/QPP1BPP1/3R1K2 w - - 2 32|1
5knr/8/prq3p1/3pN2p/8/4NR2/QPP1BPP1/3R1K2 b - - 3 32|0
6kr/8/p1N2np1/3p4/7p/1Q2NR2/1PP1BPP1/3R1K2 w - - 0 36|1
6kr/8/p1N2Rp1/3p4/7p/1Q2N3/1PP1BPP1/3R1K2 b - - 0 36|0
5k2/1Q6/p1NR4/3p1r2/7p/4N3/1PP1BPP1/3R1K2 w - - 5 40|1
